Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Sri Lanka,LKA,"4,67","45,020025","99,00705","20,21912575","-0,22048389","99,7613525","4082,69405","29,3","69,558","0,4807","4,791675",1562,-94897,"6,27"
Lower middle income,LMC,"5,73089945","58,838675","86,66405","24,43153954","3,537923897","88,3588462","2235,39182",4,"82,1122","8,4140","76,39455",,-3402110,
Low & middle income,LMY,"5,717488187","62,996225","88,492175","33,32963181","3,997645555","88,3197249","4957,61075",..,"80,41971",..,..,,-3109548,
Lesotho,LSO,"16,88","20,8029","68,1239",,"-0,76422598","44,5633965","1094,49944","4,9","82,0561","6,8301","3,019878",,-2989,"6,54"
Late-demographic dividend,LTE,"5,184725991","82,69655","72,330175","54,87258148","4,646903024","99,3347587","9979,37424","14,9","74,054","0,7701","0,814545",,45880,
Lithuania,LTU,"6,26","73,363125","73,657675","72,00897217","4,625103139",100,"19598,4009",117,"62,897","0,0921","73,80879",1911,-13398,"7,5"
Luxembourg,LUX,"5,59","63,1642","71,36995","19,39694977","2,319925201",100,"112621,821","116,8","52,91","0,5880","5,643439",288,10365,"8,81"
Latvia,LVA,"6,31","70,0642","72,036225","94,86453247","2,569703888",100,"17945,2222","6,8","76,60244","3,8311","29,61444","1859,6",-7903,"7,49"
"Macao SAR, China",MAC,"1,75","82,564025","95,983225","82,40144348","-2,51193785",100,"83183,4724",..,..,..,..,,8578,
St. Martin (French part),MAF,,0,0,,,100,,"2,4","82,95854","7,0423","0,704476",,-949,
Morocco,MAR,"9,242","31,98985","72,652025","38,02486038","2,890974761","99,6","3498,58252","10,6","78,002","16,4564","116,7143",2295,-91959,"5,1"
Monaco,MCO,,0,0,,"6,905665492",100,"199382,781","67,5","66,756","0,8245","322,0182",,416,
Moldova,MDA,"5,1","77,201225","86,6395","54,77457047","3,552314085",100,"4404,95042","17,4",..,"12,1344",..,1151,-28328,"5,75"
Madagascar,MDG,"1,841","29,85085","23,90095","5,534029961","4,41123213","31,04","512,279666","14,8","77,81","3,0951","0,886823",673,-1487,"5,64"
Maldives,MDV,"4,56",0,"71,95135","36,26837158","7,097466015",100,"11118,5262","45,5","65,474","0,7826","0,048951",,6690,
