Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
"Hong Kong SAR, China",HKG,"3,39","91,4471","96,3716","72,94537354","2,175418989",100,"43734,1981","3,4","83,24390244","5,498244","18,55803",,0,"6,42"
Honduras,HND,"6,73","42,5185","79,5827","20,9513092","3,892972197","91,6","2295,53623","14,6","72,02","2,693657","12,47344",,-6685,"5,92"
Heavily indebted poor countries (HIPC),HPC,"4,639702189","32,2428",,"8,36727047","4,372227428","40,6302048","978,109791","2,7","83,98487805","9,166714","18,53488",,370860,
Croatia,HRV,"13,1","91,8766","87,6378","66,55889893","3,559359482",100,"12550,7089",17,"75,215","2,481772","132,4927",2605,-13569,"6,75"
Haiti,HTI,"13,852",,,,"1,812468078","40,4","1313,1861",11,"72,41","11,37884","33,61305",,-33902,"4,02"
Hungary,HUN,"5,11","89,1582","91,3984","49,47621918","2,201001893",100,"13104,6995","43,8","62,163","0,403178","19,47826","7748,7",-982,"6,72"
IBRD only,IBD,"6,398734994","72,9029","94,3212","41,13888168","4,594489236","95,8357518","5513,37202","56,1","66,332","0,478429",..,,-506027,
IDA & IBRD total,IBT,"5,995452036","62,8315","88,5905","32,20943069","4,486849869","86,2840153","4455,01334",20,"72,805","1,107843","12,92209",,-3881250,
IDA total,IDA,"4,526199939","40,9638",,"10,54623985","3,207608394","58,3193541","1358,88633","3,4","82,27560976","12,0162","45,02236",,-3375223,
IDA blend,IDB,"4,23514961","43,4894",,"9,576729774","1,669268515","72,9171607","1818,75249","13,5","78,981",..,..,,-2461971,
Indonesia,IDN,"4,3",,"92,7727","35,47574997","5,033069183","97,62","3558,81885",9,"79,701","22,5727",..,5384,-38653,"6,97"
IDA only,IDX,"4,657081421","39,6763","81,4967","11,04341984","4,594645093","50,999667","1128,68035","21,1","70,95121951","1,591512","15,75107",,-913252,
Isle of Man,IMN,,,,,"6,952302529",100,"82041,621","51,5","67,167","2,278533","4,023109",,107,
India,IND,"7,842",,,"26,2255764","8,256305502","89,5863037","1714,27954","4,7","74,5804878","3,646423","1,097154",66687,68119,"7,81"
Not classified,INX,,,,,,,,"9,2","79,505","4,4347","37,75",,,
Ireland,IRL,"8,37","98,1407","95,8716",,"2,006654115",100,"62895,9111","77,8","52,264","0,991757","0,837476",2174,18978,"9,15"
